iteration,time_out,hand_wrist_away,object_away,ep_len,mean_reward,voc,obj_pos_err,obj_rot_err,rw_err,lw_err,rf_err,lf_err,R_force_closure,R_object_kp,R_hand_kp,R_hand_joint,R_termination
117,0.9962,0.0,0.0038,258.96,38.34,1.0,0.0065,0.009,0.0159,0.0365,0.2211,0.1733,1.2802,0.0,0.1277,0.1247,-0.0013
118,0.9963,0.0,0.0037,289.7,43.06,1.0,0.0074,0.0103,0.0162,0.0369,0.2218,0.1869,1.3019,0.0,0.1314,0.1283,-0.0013
119,0.9962,0.0,0.0038,270.71,38.51,1.0,0.0083,0.0107,0.0166,0.0374,0.2205,0.1874,1.2752,0.0,0.1274,0.1243,-0.0013
120,0.9961,0.0,0.0039,263.35,38.16,1.0,0.0078,0.0113,0.0161,0.0373,0.22,0.1868,1.2719,0.0,0.1285,0.1254,-0.0012
121,0.9958,0.0,0.0042,286.44,43.04,1.0,0.0071,0.0114,0.0157,0.0375,0.2208,0.1927,1.3373,0.0,0.1328,0.1295,0.0
122,0.9957,0.0,0.0043,271.28,40.09,1.0,0.0092,0.0141,0.0162,0.0374,0.2207,0.196,1.319,0.0,0.1294,0.1262,-0.0011
123,0.996,0.0,0.004,262.51,38.66,1.0,0.0059,0.0074,0.016,0.0369,0.2206,0.1736,1.2371,0.0,0.1239,0.1209,0.0
124,0.9961,0.0,0.0039,298.8,43.74,1.0,0.0097,0.0149,0.0166,0.038,0.2219,0.1979,1.3634,0.0,0.1348,0.1314,-0.0021
125,0.9964,0.0,0.0036,270.21,39.1,1.0,0.0068,0.009,0.016,0.0369,0.2209,0.1804,1.2955,0.0,0.1292,0.1261,-0.001
126,0.9961,0.0,0.0039,299.07,43.12,1.0,0.0057,0.0065,0.0163,0.0367,0.2202,0.1756,1.3842,0.0,0.1385,0.1353,0.0
127,0.9963,0.0,0.0037,297.95,43.95,1.0,0.0059,0.0085,0.0159,0.0368,0.221,0.1817,1.3733,0.0,0.1364,0.1332,0.0
128,0.9964,0.0,0.0036,299.58,44.09,1.0,0.0074,0.0104,0.0159,0.0373,0.2217,0.1891,1.3414,0.0,0.1312,0.128,-0.0006
129,0.9968,0.0,0.0032,262.81,38.8,1.0,0.008,0.0142,0.0161,0.0377,0.2206,0.2003,1.3318,0.0,0.1309,0.1276,-0.0005
130,0.9968,0.0,0.0032,276.01,40.23,1.0,0.0057,0.0073,0.0161,0.0368,0.222,0.1807,1.3463,0.0,0.1347,0.1316,0.0
